이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
조선기자재,3.39,태웅,10.0,KS인더스트리,-2.37
전력반도체,3.36,나노씨엠에스,7.09,에이루트,-1.31
전력설비,3.32,지투파워,13.7,효성중공업,-1.33
뉴로모픽 반도체,3.28,네패스,9.81,앤씨앤,-0.81
PCB(FPCB 등),3.27,티엘비,14.67,이브이첨단소재,-4.39
우주항공산업(누리호/인공위성 등),3.22,한화,17.4,센서뷰,-2.81
피팅(관이음쇠)/밸브,3.19,성광벤드,8.26,한선엔지니어링,0.0
골판지 제조,3.19,아세아제지,10.17,블루산업개발,0.0
스마트그리드(지능형전력망),3.08,지투파워,13.7,일진홀딩스,-2.45
테마파크,3.07,현대건설,14.87,닷밀,-2.56
LNG(액화천연가스),3.06,비에이치아이,13.8,케일럼,-0.77
태양광에너지,3.02,한화,17.4,혜인,-4.43
스테이블코인,2.95,헥토파이낸셜,7.95,NAVER,-1.34
육계,2.92,마니커,15.76,푸드나무,-1.21
시스템반도체,2.89,네패스,9.81,해치텍,-39.43
생명보험,2.88,미래에셋생명,11.69,삼성생명,-0.18
철강 주요종목,2.87,현대제철,7.5,세아제강,-1.01
낙태/피임,2.86,지엘팜텍,7.92,명문제약,0.08
전선,2.8,LS마린솔루션,4.74,일진전기,0.3
MLCC(적층세라믹콘덴서),2.77,삼화콘덴서,13.53,코스모신소재,-1.25
코로나19(음압병실/음압구급차),2.65,오텍,5.0,GH신소재,1.1
자율주행차,2.63,오비고,10.33,DH오토웨어,-3.75
토스(toss),2.61,이월드,4.01,대신정보통신,0.5
웹툰,2.56,탑코미디어,23.52,NHN,-5.71
항공기부품,2.56,두산에너빌리티,10.55,한화에어로스페이스,-0.27
전자결제(전자화폐),2.55,헥토파이낸셜,7.95,NHN,-5.71
화장품,2.52,헝셩그룹,30.0,지놈앤컴퍼니,-3.89
GTX(수도권 광역급행철도),2.5,현대건설,14.87,폴라리스AI,-1.02
화폐/금융자동화기기(디지털화폐 등),2.5,풍산,6.57,프리엠스,0.32
로봇(산업용/협동로봇 등),2.47,케이엔알시스템,15.92,오늘이엔엠,-3.66
갤럭시 부품주,2.43,제이앤티씨,9.05,유티아이,-6.61
피지컬 AI/휴머노이드 로봇,2.38,케이엔알시스템,15.92,마키나락스,-8.79
아이폰,2.38,LG이노텍,5.61,LG화학,-3.66
초전도체,2.36,모비스,6.32,신성델타테크,-1.53
스마트팩토리(스마트공장),2.36,티엑스알로보틱스,11.86,트윔,-2.02
화학섬유,2.32,코오롱인더,9.74,우성머티리얼스,-1.09
엔젤산업,2.31,헝셩그룹,30.0,예림당,-7.47
보안주(정보),2.31,비트플래닛,30.0,에스에스알,-10.5
2차전지(장비),2.29,이노메트리,22.03,케이지에이,-3.5
